"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hugo_symbol"
"ENSG00000175899.16",84059.7361535472,-1.53712984925127,0.301914096389285,-5.09128214824824,3.55650336311111e-07,2.02079495177541e-06,"A2M"
"ENSG00000245105.5",302.69690264339,-1.74405465534615,0.493726931670872,-3.53242763047969,0.000411762911376065,0.00131649397216232,"A2M-AS1"
"ENSG00000166535.20",16.0784143999952,1.24412667972064,0.466663700392826,2.66600268817431,0.00767590791886591,0.0178297401216818,"A2ML1"
"ENSG00000181409.15",745.636015120997,-2.04854710374757,0.407589356921868,-5.02600735018765,5.00796701581253e-07,2.77806421855811e-06,"AATK"
"ENSG00000183044.13",1909.90157985289,-2.88751691177836,0.211812068096888,-13.6324475641187,2.56820220490221e-42,5.27866047976291e-40,"ABAT"
"ENSG00000165029.17",3556.26854851161,1.91379134103995,0.308800227205066,6.19750625950496,5.7364758047882e-10,5.10708393965268e-09,"ABCA1"
"ENSG00000107331.19",4323.78286591916,-3.09820689212683,0.358500429776257,-8.64212880877282,5.51751730468817e-18,1.42377245121085e-16,"ABCA2"
"ENSG00000154265.17",3993.45912693464,1.31541696396072,0.163205038607631,8.0599041254062,7.63543100024889e-16,1.48054702668485e-14,"ABCA5"
"ENSG00000154262.14",11318.1040849035,-4.00707310252526,0.469769813092453,-8.52986503357262,1.4651855562682e-17,3.55570749420037e-16,"ABCA6"
"ENSG00000135776.6",3370.7571951526,1.52495554341029,0.222193624924741,6.86318315355268,6.73427934883787e-12,7.97885518639001e-11,"ABCB10"
"ENSG00000005471.20",610.642561525013,-2.02359272461802,0.703437343322618,-2.87672064019203,0.0040183116341964,0.010090389046797,"ABCB4"
"ENSG00000004846.17",33.2957938653582,2.04256621704698,0.580396219988117,3.51926175034152,0.000432749524070006,0.00137614697974475,"ABCB5"
"ENSG00000150967.20",363.486055698354,-2.47867381133656,0.258054289331344,-9.60524166352422,7.59794853261411e-22,2.9182863281593e-20,"ABCB9"
"ENSG00000023839.12",66.2408441462888,1.17610337402175,0.372834505302248,3.15449175785998,0.00160777919661291,0.00448202345445683,"ABCC2"
"ENSG00000108846.17",10140.1635980214,-1.01446974829286,0.393710452573919,-2.57668990411778,0.00997513944204854,0.0224640216264959,"ABCC3"
