"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hugo_symbol"
"ENSG00000175899.16",85211.8308325547,-1.53951269338598,0.302509903886806,-5.08913154116778,3.59707042294492e-07,2.04939718333202e-06,"A2M"
"ENSG00000245105.5",351.816749940177,-1.63287396276469,0.506310497904657,-3.22504465051044,0.00125953023068328,0.00358957087500243,"A2M-AS1"
"ENSG00000166535.20",16.1351282187606,1.1833220631246,0.499853833902402,2.36733617482995,0.0179166502023059,0.0375755489214555,"A2ML1"
"ENSG00000118017.5",18.0138836288193,-1.59614981375234,0.471817758463598,-3.38297951935924,0.000717039793633248,0.00216508235511712,"A4GNT"
"ENSG00000181409.15",753.520017281566,-2.0380688938574,0.403042120572018,-5.05671439740558,4.26541289527473e-07,2.39736213047851e-06,"AATK"
"ENSG00000183044.13",1939.34454959838,-2.88134174128969,0.203405496194422,-14.1655058255437,1.49784504975835e-45,3.948319551163e-43,"ABAT"
"ENSG00000165029.17",3591.35636954751,1.91246952860269,0.308716528706307,6.19490487476325,5.8320241452213e-10,5.17810407265083e-09,"ABCA1"
"ENSG00000107331.19",4362.01891347444,-3.08774145501452,0.355115678026535,-8.69502994678763,3.46738323375936e-18,9.09957962806494e-17,"ABCA2"
"ENSG00000154265.17",4045.34857933295,1.30923545521657,0.162962936402894,8.03394614821951,9.43866362088554e-16,1.80874681536259e-14,"ABCA5"
"ENSG00000154262.14",11510.6753424139,-4.00844264054991,0.471546190627765,-8.50063624777354,1.88554351523823e-17,4.50933814067659e-16,"ABCA6"
"ENSG00000135776.6",3406.29290072261,1.52096945359746,0.22224454969624,6.84367493230451,7.71869650100877e-12,9.05182183835552e-11,"ABCB10"
"ENSG00000005471.20",620.950139508439,-2.04556478925721,0.70312463165935,-2.90924922432279,0.00362297917028015,0.00918482131178951,"ABCB4"
"ENSG00000004846.17",31.3390764910719,2.02051080029629,0.542748487488409,3.72273870286823,0.000197073445257068,0.000674364692813886,"ABCB5"
"ENSG00000150967.20",372.64979846219,-2.40870232135433,0.260878911500186,-9.2330281029734,2.63087029781821e-20,8.86573394111351e-19,"ABCB9"
"ENSG00000114770.18",1452.72807627378,-1.36570332920448,0.253819097602802,-5.3806169122138,7.42310112187363e-08,4.74550393466262e-07,"ABCC5"
"ENSG00000173208.5",343.585909500308,3.44368652142982,0.375034484066078,9.18231967389715,4.21903205095106e-20,1.39598767610548e-18,"ABCD2"
"ENSG00000117528.15",1603.62865914188,-1.06914658105451,0.204125669505981,-5.23768805580417,1.62600586670813e-07,9.82811800809775e-07,"ABCD3"
"ENSG00000285292.1",58.1110687276965,-7.89754479085604,2.30919853014009,-3.4200371634469,0.00062612581357457,0.001913215971309,"ABCF2-H2BK1"
"ENSG00000144827.10",2003.23075962471,-1.31299425588791,0.249831882891763,-5.2555111889252,1.476138781111e-07,9.00254921415873e-07,"ABHD10"
"ENSG00000106077.20",909.549788253327,-2.43680821054848,0.277661628290438,-8.77617921335367,1.69122250250725e-18,4.63844654907307e-17,"ABHD11"
"ENSG00000100997.21",10508.1953129039,-1.13771785280593,0.314875049001875,-3.61323596903723,0.000302399268086604,0.000990626931246424,"ABHD12"
"ENSG00000248487.11",347.949943224751,-2.65088029469137,0.290902626857571,-9.11260349666513,8.04283022597177e-20,2.57153779354386e-18,"ABHD14A"
"ENSG00000114779.21",1559.23392381377,-1.52052380159157,0.268199935551725,-5.66936676723518,1.43326254951184e-08,1.02356173162609e-07,"ABHD14B"
"ENSG00000129968.18",5819.7627625686,-1.02704314718368,0.205378520416799,-5.00073301287485,5.71127564117266e-07,3.13789493541409e-06,"ABHD17A"
"ENSG00000136379.13",545.413664612891,2.60417778761275,0.495325378030933,5.25750931229314,1.46019502724917e-07,8.91906972874856e-07,"ABHD17C"
"ENSG00000140526.19",7535.15528518715,-1.48910581805288,0.318362431575848,-4.67739177227041,2.90546832147504e-06,1.41800720960037e-05,"ABHD2"
"ENSG00000100439.12",3430.12010925901,1.30485310185681,0.237129526994569,5.50270191314765,3.74014494229086e-08,2.51434396743861e-07,"ABHD4"
"ENSG00000163686.16",1194.91525538927,-1.11855541591468,0.296830858205808,-3.76832591690695,0.000164346037255544,0.000574049674300727,"ABHD6"
"ENSG00000136754.19",13722.6639161899,1.4473750458915,0.278772385692215,5.19195989336442,2.08091836210885e-07,1.2360467506928e-06,"ABI1"
"ENSG00000108798.10",1035.26866561183,-2.46596422222045,0.448357542866075,-5.49999495147791,3.79802123743034e-08,2.55036104831014e-07,"ABI3"
"ENSG00000154175.20",22.6712308542401,1.45263686515724,0.494499786037629,2.93758846044617,0.00330775789822412,0.0084918567663098,"ABI3BP"
"ENSG00000097007.21",3243.8742908204,-1.00758494886068,0.233811077383453,-4.30939782723907,1.63699664895957e-05,6.9499120436501e-05,"ABL1"
"ENSG00000099204.23",1511.93124462086,3.41136502045583,0.447711439257118,7.61956189039143,2.54538146603171e-14,4.14174416324666e-13,"ABLIM1"
"ENSG00000173210.21",19.9190745839903,2.23950268865366,0.550221156645956,4.07018643613279,4.69755294934089e-05,0.000182876183410179,"ABLIM3"
"ENSG00000159842.17",6765.33272387129,-1.56027265990302,0.319593073508647,-4.88206031117506,1.04983134233663e-06,5.51510158671264e-06,"ABR"
"ENSG00000146386.9",2478.5414061348,-1.02916814521733,0.183226427513371,-5.61691978163046,1.9439161465858e-08,1.3591944197348e-07,"ABRACL"
"ENSG00000165660.9",4588.46666769074,1.0383286642161,0.230327353349851,4.50805624740086,6.5424233856951e-06,2.9969579533159e-05,"ABRAXAS2"
"ENSG00000166016.7",9032.33834604587,6.22068281643091,0.401795744971687,15.4822018258786,4.57541141481968e-54,2.12837373343494e-51,"ABTB2"
"ENSG00000151136.15",71.2976983980554,1.36035529144384,0.490021986378597,2.77611072412742,0.00550134697066534,0.0133282792586815,"ABTB3"
"ENSG00000167315.19",6651.71218966661,-1.06058792780953,0.24480867335323,-4.33231352991822,1.47550617138132e-05,6.31857552524378e-05,"ACAA2"
"ENSG00000072818.13",5938.06116708073,-2.23218744778,0.434881827388512,-5.13285979592296,2.85372490191454e-07,1.65935709737795e-06,"ACAP1"
"ENSG00000229325.1",24.9662329055839,1.00508221759739,0.437963337898293,2.29490035038228,0.0217388357339537,0.0445395741200845,"ACAP2-IT1"
"ENSG00000131584.20",3653.30705437711,-1.26586401500206,0.309254813965986,-4.09327181933954,4.2532862085757e-05,0.000166785061177273,"ACAP3"
"ENSG00000075239.16",2251.3869217613,-1.19468999758063,0.216278645648334,-5.52384630484127,3.31657615392026e-08,2.24358291062459e-07,"ACAT1"
"ENSG00000120437.10",6295.46230121519,1.40111909750057,0.262879475820306,5.32989155250112,9.82714305542595e-08,6.16607092956692e-07,"ACAT2"
"ENSG00000110455.15",1121.53990445102,-1.21855586179602,0.33985005508843,-3.58556911658862,0.000336343905903424,0.00109097933055138,"ACCS"
"ENSG00000159640.18",19621.8052199606,-4.15170976149376,0.430438681103505,-9.64529895605599,5.14610270119424e-22,2.0313833691037e-20,"ACE"
"ENSG00000087085.17",420.111217435926,5.71066971865321,0.459801292971449,12.4198644195805,2.03906759530658e-35,2.46810406280884e-33,"ACHE"
"ENSG00000213088.15",29.8219179511055,-1.31903705198237,0.570896289892202,-2.31046702410946,0.0208623121483498,0.0429857124724206,"ACKR1"
"ENSG00000144476.7",832.230539099018,6.5725401641397,0.567420968768745,11.583181669161,5.01495450362356e-31,4.47273611443479e-29,"ACKR3"
"ENSG00000162390.19",274.462042107486,-1.34506045146853,0.322344915169465,-4.17273668102192,3.00962697386082e-05,0.000121326066827314,"ACOT11"
"ENSG00000177465.5",69.2811355474432,1.23694808418408,0.418560916288239,2.95524029131345,0.00312425612682225,0.00806966274934471,"ACOT4"
"ENSG00000097021.22",7990.15741039567,-2.26085417333696,0.284781684340802,-7.93890301818487,2.03977179593216e-15,3.73679892561348e-14,"ACOT7"
"ENSG00000101473.18",1212.54848339984,-1.08726253811761,0.176449786703486,-6.16188071649353,7.18859950073379e-10,6.27686177973532e-09,"ACOT8"
"ENSG00000123130.18",13629.8884307841,1.7113748212061,0.235604184750711,7.26377090040604,3.76445389829203e-13,5.25649819205886e-12,"ACOT9"
"ENSG00000153093.22",94.9058122682842,-1.4270111124818,0.497148816661927,-2.87039024263071,0.00409965494857138,0.0102551891606819,"ACOXL"
"ENSG00000102575.15",35650.8173682997,-2.35755081345836,0.493310748705627,-4.77903799916019,1.76135906747881e-06,8.92492151150517e-06,"ACP5"
"ENSG00000162836.13",694.000400378425,-2.48280979121256,0.325971891967519,-7.61663766844031,2.60368872473836e-14,4.2337156480941e-13,"ACP6"
"ENSG00000111644.8",105.615914671272,-2.57462207578153,0.379021105215656,-6.79281982019608,1.09962684945124e-11,1.26577134286178e-10,"ACRBP"
"ENSG00000167107.14",4818.80069227314,-2.6558408920941,0.364245076207056,-7.29135701640722,3.06848434541785e-13,4.3331382506365e-12,"ACSF2"
"ENSG00000176715.18",2243.12241420262,-1.0532553717239,0.243261424851113,-4.32972622917317,1.49294828518915e-05,6.38404922815924e-05,"ACSF3"
"ENSG00000151726.17",11217.6273588397,3.02445253764489,0.303189959572097,9.97543764943077,1.95238806911702e-23,8.65765505639854e-22,"ACSL1"
"ENSG00000068366.22",12259.4461700558,1.84219175113787,0.294778125240075,6.24941809924851,4.11984706448409e-10,3.75054688249503e-09,"ACSL4"
"ENSG00000183549.11",296.542411994571,-4.78055230319988,0.675697496794991,-7.0749889201533,1.49460702049769e-12,1.93337278921959e-11,"ACSM5"
"ENSG00000154930.16",1639.91947491141,-1.28192049128516,0.291668123098154,-4.39513402310939,1.10704430217116e-05,4.87083067965662e-05,"ACSS1"
"ENSG00000111058.9",55.1706771883868,1.12438370912014,0.313444395779705,3.58718715108367,0.000334264414598514,0.00108512438039616,"ACSS3"
"ENSG00000215388.3",10.2470930143658,1.26769282246886,0.531581951833074,2.38475519738288,0.017090489784553,0.0360500382011856,"ACTG1P3"
"ENSG00000077522.16",72.6652947317694,3.82778799034632,0.508599572143243,7.52613293443404,5.22651301760492e-14,8.21150959136815e-13,"ACTN2"
"ENSG00000133627.19",333.394811351074,-1.00242771503783,0.252744560197817,-3.96616929857264,7.30369934325279e-05,0.000274347385618426,"ACTR3B"
"ENSG00000106526.13",132.115026718839,3.65018080356483,0.399932944483548,9.12698204514879,7.04353969783521e-20,2.282799669282e-18,"ACTR3C"
"ENSG00000135503.14",1081.92431908412,1.29504608058157,0.254366559500846,5.09125917779009,3.55693431427667e-07,2.0284785978822e-06,"ACVR1B"
"ENSG00000123612.17",220.652404402335,4.71253356847742,0.506177949960318,9.3100332972759,1.27792281235273e-20,4.45844717650827e-19,"ACVR1C"
"ENSG00000121989.16",1482.20394004873,1.3827651360735,0.269086664396246,5.13873528134896,2.76593721044645e-07,1.61067978352066e-06,"ACVR2A"
"ENSG00000139567.15",849.761488672575,4.33296471285027,0.258286112344293,16.7758331004435,3.66680158691894e-63,3.34581541723327e-60,"ACVRL1"
"ENSG00000196839.15",634.325712260845,1.48467016854318,0.280438212909095,5.29410793608373,1.19598781172685e-07,7.41599969822475e-07,"ADA"
"ENSG00000093072.20",17833.7635894739,-2.70315500236684,0.345319390368477,-7.82798498364776,4.9575113226829e-15,8.68626282269786e-14,"ADA2"
"ENSG00000140955.12",549.353532681018,-4.40744804817756,0.553212182591424,-7.9670119112917,1.62557001753829e-15,2.99883538849754e-14,"ADAD2"
"ENSG00000143537.15",16009.3913012837,-4.13815806633118,0.407794024899542,-10.1476672380146,3.39378545038831e-24,1.62377828025121e-22,"ADAM15"
"ENSG00000135074.17",89145.4478382123,2.12990706589055,0.277376658746285,7.67875377660657,1.60643661057205e-14,2.6763414430626e-13,"ADAM19"
"ENSG00000114948.14",819.994124071065,-4.37909333643354,0.506256486613476,-8.64995007911267,5.1521963639641e-18,1.32284314435806e-16,"ADAM23"
"ENSG00000042980.15",173.910662335672,1.07767893788851,0.25963789291044,4.15069975267534,3.31460345272599e-05,0.000132606496311082,"ADAM28"
"ENSG00000151651.17",23482.2861597755,2.08678540245479,0.28191902309575,7.40207375699527,1.34073991459488e-13,2.00048514049364e-12,"ADAM8"
"ENSG00000168615.14",19167.2071537198,1.21978178742771,0.292811207361257,4.16576195433258,3.10314372015061e-05,0.000124799087331502,"ADAM9"
"ENSG00000134028.15",158.941186074313,5.4058575423984,0.662620751468131,8.15829798632318,3.3977841360141e-16,6.90737196596389e-15,"ADAMDEC1"
"ENSG00000142303.15",79.1807527737301,-1.98573767933229,0.45960983206594,-4.32048563975759,1.55686188124329e-05,6.62986739734621e-05,"ADAMTS10"
"ENSG00000160323.20",38.2151523606173,-1.14391417022161,0.439083578737469,-2.60523104396387,0.00918123247728611,0.020915546520424,"ADAMTS13"
"ENSG00000138316.12",587.372581188748,1.24824547217127,0.344490972603206,3.62344900575677,0.000290700537768912,0.000956648056017576,"ADAMTS14"
"ENSG00000166106.5",460.26333784645,2.19149744575527,0.528078404130352,4.14994710750246,3.32552110362371e-05,0.000132998419862389,"ADAMTS15"
"ENSG00000140470.16",29.6942007892457,3.73112042404599,0.532290419752982,7.00955772560679,2.39072640180163e-12,2.99143423820368e-11,"ADAMTS17"
"ENSG00000158859.11",121.898808728461,1.93875956264025,0.433459210701188,4.47276125359986,7.72159731767935e-06,3.48861502122691e-05,"ADAMTS4"
"ENSG00000154736.7",60.5415237852929,-3.14452988157608,0.690657952004352,-4.55294820315956,5.28993010265936e-06,2.46268253052375e-05,"ADAMTS5"
