"hugo_symbol","log2FoldChange","padj"
"7SK",-0.532770162512627,0.416132726192205
"A1BG",-0.390454733665004,0.235992500491295
"A1BG-AS1",-0.249103533100352,0.284666226810894
"A1CF",0.122010711458674,0.865089472090355
"A2M",-1.53712984925127,2.02079495177541e-06
"A2M-AS1",-1.74405465534615,0.00131649397216232
"A2ML1",1.24412667972064,0.0178297401216818
"A4GALT",-0.0357860894328909,0.948574600001614
"A4GNT",-1.0284652320852,0.0516776900401093
"AAAS",-0.808832784676468,0.000389595218852434
"AACS",0.0913411881269064,0.73974598163849
"AAGAB",-0.255592975640223,0.212313908923743
"AAK1",-0.260909425780068,0.372925397215951
"AAMDC",-0.703290215817072,0.0226828137594754
"AAMP",-0.591401958415014,0.00183298746591534
"AAR2",0.0268641395221351,0.892961556684794
"AARD",0.359452929782814,0.393806021383705
"AARS1",0.0728909215625051,0.803138383146546
"AARS2",-0.0555189776931895,0.839587117802633
"AARSD1",-0.821742087315326,0.00171404928370537
"AARSD1P1",0.907780011336451,0.17891499600982
"AASDH",-0.039147631329769,0.882642148835938
"AASDHPPT",0.149290268530469,0.5027234015044
"AASS",-0.288939122707059,0.309679366730836
"AATBC",-0.333289398504583,0.659189670996952
"AATF",0.331360272319659,0.466548047251692
"AATK",-2.04854710374757,2.77806421855811e-06
"ABAT",-2.88751691177836,5.27866047976291e-40
"ABCA1",1.91379134103995,5.10708393965268e-09
"ABCA10",0.717679524531653,0.0201402218671771
"ABCA11P",-0.107699133691431,0.854255309845607
"ABCA13",-0.914035032609887,0.282693805263198
"ABCA2",-3.09820689212683,1.42377245121085e-16
"ABCA3",0.444513628737872,0.12258382059737
"ABCA5",1.31541696396072,1.48054702668485e-14
"ABCA6",-4.00707310252526,3.55570749420037e-16
"ABCA7",-0.978893613552858,0.00419680536974962
"ABCA8",-1.20136780296688,0.205452932693983
"ABCA9",-1.23768965263491,0.0680830238868423
"ABCB1",0.326075625958877,0.484927475636071
"ABCB10",1.52495554341029,7.97885518639001e-11
"ABCB4",-2.02359272461802,0.010090389046797
"ABCB5",2.04256621704698,0.00137614697974475
"ABCB6",-0.712350014586006,0.0941293398919761
"ABCB7",-0.404499962074132,0.0349328497846174
"ABCB8",-0.903166759390912,7.15178728207335e-07
"ABCB9",-2.47867381133656,2.9182863281593e-20
"ABCC1",0.151304757974186,0.717079212916645
"ABCC10",-0.0434468786720859,0.885726103349357
"ABCC11",0.604439051180373,0.28712295953064
"ABCC13",-0.966009241124069,0.424314934322452
"ABCC2",1.17610337402175,0.00448202345445683
"ABCC3",-1.01446974829286,0.0224640216264959
"ABCC4",-0.379470954111645,0.181007303041238
"ABCC5",-1.3103751827251,2.1328430227578e-08
"ABCC6P1",0.752659647503336,0.26223374761709
"ABCC6P2",0.379660643840287,0.630204521820082
"ABCC8",0.801007556885062,0.190345266216625
"ABCC9",0.00646268038868732,0.994519976496665
"ABCD1",0.108114779584196,0.598994449057114
"ABCD2",3.45678183411893,1.31244913266408e-18
"ABCD3",-1.08229768898743,6.40110746910343e-07
"ABCD4",-0.593402836692458,0.00931596181460911
"ABCE1",-0.168740626806935,0.567301358786281
"ABCF1",0.914915345060597,0.0131758632105048
"ABCF2",-0.217476885703201,0.372478322897484
"ABCF2-H2BK1",-5.33170552074325,0.0108103878485128
"ABCF3",-0.786317995424651,0.0003567303079448
"ABCG1",-0.943491317646062,0.000312876153792992
"ABCG2",-0.811977238284746,0.0635890090718904
"ABCG8",0.5472717678183,0.202023626086593
"ABHD1",-0.467071394703126,0.495572724907259
"ABHD10",-1.30693808476952,1.00585938234156e-06
"ABHD11",-2.43591668657144,1.12833547371028e-16
"ABHD12",-1.09773528371018,0.00126436550425432
"ABHD12B",-0.732557127999027,0.428877318306173
"ABHD13",0.694073357237817,0.00418062721129248
"ABHD14A",-2.64735453992995,8.34714995207241e-18
"ABHD14A-ACY1",-1.01797853794236,0.0212263956879391
"ABHD14B",-1.51744969982018,1.02483825037501e-07
"ABHD15",-0.714112882203111,8.84704741779961e-05
"ABHD16A",-0.315930592807437,0.282079068558851
"ABHD17A",-1.02583366841532,3.87322643230346e-06
"ABHD17B",-0.0470166853732589,0.885055943028782
"ABHD17C",2.62202438229707,7.89891145363792e-07
"ABHD18",0.452542264546343,0.146448631200022
"ABHD2",-1.48771887042475,1.50420028750875e-05
"ABHD3",-0.480362615795518,0.0379096784840543
"ABHD4",1.33054594031979,1.09005448671801e-06
"ABHD5",0.661830316895873,0.00470915321236765
"ABHD6",-1.04710819181339,0.000431754423190988
"ABHD8",-0.770809168735034,0.00209388822499357
"ABI1",1.45097369598197,1.15691387828725e-06
"ABI2",-0.598325527632288,0.0836339625654479
"ABI3",-2.4629944590701,2.68011930859765e-07
"ABI3BP",1.99266483075987,0.000304215655989946
"ABITRAM",-0.286786459649113,0.323475181933239
"ABL1",-1.00706590276708,7.10208565160085e-05
"ABL2",-0.256507727023666,0.487185310143951
"ABLIM1",3.39688175037017,3.8042565697741e-13
"ABLIM3",2.1989720723304,0.000307624697618341
"ABO",-0.158959633010542,0.846581275107324
"ABR",-1.58495671704098,3.1578637486471e-05
"ABR-AS1",-0.604040752567415,0.606322846042475
"ABRACL",-1.02714026949115,1.38857850727073e-07
"ABRAXAS1",0.024472709810577,0.945561128173985
"ABRAXAS2",1.04605200179379,2.37647458477643e-05
"ABT1",-0.47925260081965,0.0196671791872373
"ABTB1",0.357548445463861,0.103135749716476
"ABTB2",6.21724088328718,2.49261595597134e-51
"ABTB3",1.40410134949215,0.00819544881710083
"ACAA1",-0.600953968196256,0.0122780580745826
"ACAA2",-1.06295213768285,6.34435164661451e-05
"ACACA",0.058122179051834,0.832556733047315
"ACACB",-0.798142321134894,0.000595920092899198
"ACAD10",0.363759442560829,0.120733886325315
"ACAD11",-0.580309759030824,0.00275466062156892
"ACAD8",-0.949707760730993,2.00702271251393e-08
"ACAD9",-0.345309425524387,0.0915212969761094
"ACAD9-DT",0.152319405667754,0.774571963405357
"ACADL",0.569664886929187,0.436630179703571
"ACADM",-0.569161635628691,0.0399029131064484
"ACADS",-0.828573084622308,0.00211124870140744
"ACADSB",-0.203684247810793,0.614490653853484
"ACADVL",0.282966577463683,0.386674937982719
"ACAP1",-1.986200965951,7.77008789425184e-06
"ACAP2",0.458773621624049,0.145515580477397
"ACAP2-IT1",0.981249356712845,0.0488331329945917
"ACAP3",-1.24250205700471,0.000214875615047992
"ACAT1",-1.20464798818473,2.07757066349831e-07
"ACAT2",1.40976699844981,5.25606007193352e-07
"ACBD3",0.925730097930736,4.65057105278798e-05
"ACBD3-AS1",1.45312305220498,0.0846017321612774
"ACBD4",-0.901646709006651,0.000500395124678395
"ACBD5",0.96348324213117,2.54803795544224e-05
"ACBD6",-0.454867938044071,0.100150369370187
"ACBD7",0.0982554813253145,0.808277052236399
"ACCS",-1.2419559516438,0.000706654729787051
"ACD",1.63267688828308e-05,0.999946228866247
"ACE",-4.1347315993936,5.47525323497538e-21
"ACER2",-0.690263219248929,0.142526529441694
"ACER3",-0.519559625163937,0.0645840711942126
"ACHE",5.71086581425759,1.2819517934246e-32
"ACIN1",-0.0392278029942366,0.829996829032162
"ACKR1",-1.34456228587215,0.0489485366353637
"ACKR2",-0.163335094361094,0.785045317108822
"ACKR3",6.5930283809583,2.4123874706999e-29
"ACKR4",0.542027266394927,0.181698819175906
"ACLY",0.779471230281767,5.41179577942394e-06
"ACO1",-0.517992133987559,0.0649856220447381
"ACO2",-0.334864824207521,0.121866751327003
"ACOT1",0.0589883669940164,0.878395324226914
"ACOT11",-1.31797422316951,0.000210323246541861
"ACOT13",0.443320190606179,0.0531602489552049
"ACOT2",-0.238384216874163,0.245276089565865
"ACOT4",1.23158789254247,0.00794326417331761
"ACOT7",-2.25649224959047,3.82488273659727e-14
"ACOT8",-1.10900107343573,5.41556308474007e-09
"ACOT9",1.71983990483446,4.9204431474749e-12
"ACOX1",0.787100152768258,3.22416190576927e-05
"ACOX2",-1.03478690833432,0.300119730868014
"ACOX3",0.907138670598637,0.0292966745978726
"ACOXL",-1.27751098347037,0.0207883234463578
"ACOXL-AS1",0.00568256877984244,0.994538934055103
"ACP1",0.0318737746355149,0.866747645538867
"ACP2",0.484479821473363,0.0771904330176705
"ACP3",-0.295256692580554,0.294482783217212
"ACP5",-2.35546923670421,9.2361659520693e-06
"ACP6",-2.46893486681562,6.61447784817828e-13
"ACP7",0.510511705941597,0.310140535609335
"ACRBP",-2.55590055370207,9.21549994834905e-11
"ACSBG1",-0.401281760129188,0.573187126181741
"ACSF2",-2.63882131311254,4.80318003532276e-12
"ACSF3",-1.05064296859445,7.66216686955496e-05
"ACSL1",3.02857446460798,9.80940459662095e-22
"ACSL3",-0.195338669192571,0.531692932901309
"ACSL4",1.84749158137032,3.04827240542492e-09
"ACSL5",0.155635756701557,0.708228902244345
"ACSL6",0.0501165528500102,0.95225304384408
"ACSM1",-0.668371114983331,0.202675993913583
"ACSM2A",0.872171071496562,0.218431864733968
"ACSM3",-0.829198154541934,0.00298396908760157
"ACSM5",-4.77190643149967,1.63639566425736e-11
"ACSS1",-1.28211257585953,5.95061323489352e-05
"ACSS2",-0.0875740754290123,0.754373287040917
"ACSS3",1.0258967170491,0.0074035061524164
"ACTA1",0.204116131490423,0.738939904599289
"ACTA2",-0.886746633862864,0.0352097395887651
"ACTB",0.556769932957835,0.0352800931381603
"ACTBP1",0.524362759656723,0.262629748752529
"ACTBP11",0.538109334036624,0.156097005486792
"ACTBP15",0.837377891641998,0.0182593699664455
