Sample	Unique Reads	Duplicate Reads
sample_10_merged	29223277.0	73240722.0
sample_11_merged	32907329.0	86025321.0
sample_12_merged	26283457.0	59309838.0
sample_1_merged	23942859.0	61704128.0
sample_2_merged	20717542.0	66716698.0
sample_3_merged	23980567.0	44937830.0
sample_4_merged	20826080.0	77240975.0
sample_5_merged	26320643.0	57361550.0
sample_6_merged	25519361.0	57551254.0
sample_7_merged	33973023.0	71253869.0
sample_8_merged	30708931.0	58831822.0
sample_9_merged	31577817.0	86716381.0
